HEnce,hence,c,ReasonForward,0
their,their,s,SpaceRelation,2
Cloakes,cloakes,c,UNRECOGNIZED,0
",",",",n,,0
That,that,s,,0
by,by,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
means,means,s,DenyDisclaim,2
I,i,s,Curiosity,0
may,may,s,Curiosity,1
discover,discover,s,Curiosity,2
them,them,c,,0
",",",",n,,0
By,by,s,Uncertainty,0
any,any,s,Uncertainty,1
mark,mark,s,AbstractConcepts,0
of,of,s,,0
favor,favor,c,Positivity,0
.,.,nn,Imperative,0
Let,let,s,Imperative,1
',',c,,0
em,em,s,SpaceRelation,0
enter,enter,c,ReportingEvents,0
:,:,n,,0
They,they,s,ReportingStates,0
are,are,s,ReportingStates,1
the,the,s,,0
Faction,faction,c,StandardsNeg,0
.,.,s,,0
O,o,s,LangRef,0
Conspiracy,conspiracy,c,Resistance,0
",",",",n,,0
Sham'st,sham'st,s,UNRECOGNIZED,0
thou,thou,s,DirectAddress,0
to,to,s,,0
show,show,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
dangerous,dangerous,s,Fear,0
Brow,brow,s,SenseObject,0
by,by,s,Specifiers,0
Night,night,c,Specifiers,1
",",",",n,,0
When,when,s,,0
evils,evils,s,StandardsNeg,0
are,are,s,ReportingStates,0
most,most,s,Comparison,0
free,free,c,AbstractConcepts,0
?,?,s,Question,0
O,o,s,LangRef,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
by,by,s,,0
day,day,n,TimeDuration,0
Where,where,s,Future_Question,0
will,will,s,Future_Question,1
thou,thou,s,DirectAddress,0
find,find,s,,0
a,a,s,,0
Cauerne,cauerne,s,UNRECOGNIZED,0
dark,dark,s,SenseProperty,0
enough,enough,c,SubjectivePercept,0
",",",",n,,0
To,to,s,,0
mask,mask,s,SenseObject,0
thy,thy,s,DirectAddress,0
monstrous,monstrous,s,Negativity,0
Visage,visage,c,SenseObject,0
?,?,s,Question,0
Seek,seek,s,ProjectAhead,0
none,none,s,DenyDisclaim,0
Conspiracy,conspiracy,c,Resistance,0
",",",",n,,0
Hide,hide,s,ReportingEvents,0
it,it,s,,0
in,in,s,,0
Smiles,smiles,c,Positivity,0
",",",",s,,0
and,and,s,,0
Affability,affability,c,Positivity,0
:,:,n,,0
For,for,s,Contingency,0
if,if,s,Contingency,1
thou,thou,s,DirectAddress,0
path,path,s,AbstractConcepts,0
thy,thy,s,DirectAddress,0
native,native,s,CommonAuthorities,0
semblance,semblance,s,Resemblances,0
on,on,c,,0
",",",",n,,0
Not,not,s,DenyDisclaim,0
Erebus,erebus,s,UNRECOGNIZED,0
it,it,s,,0
self,self,s,SubjectivePercept,0
were,were,s,ProjectBack,0
dim,dim,s,SenseProperty,0
enough,enough,c,SubjectivePercept,0
",",",",n,,0
To,to,s,ProjectAhead,0
hide,hide,s,ProjectAhead,1
thee,thee,s,DirectAddress,0
from,from,s,,0
prevention,prevention,c,CommonAuthorities,0
.,.,nn,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
we,we,s,ReportingStates,0
are,are,s,ReportingStates,1
too,too,s,Negativity,0
bold,bold,s,Negativity,1
upon,upon,s,DirectAddress,0
your,your,s,DirectAddress,1
Rest,rest,c,,0
:,:,n,,0
Good,good,s,OralCues,0
morrow,morrow,s,OralCues,1
Brutus,brutus,c,UNRECOGNIZED,0
",",",",s,,0
do,do,s,Question,0
we,we,s,Question,1
trouble,trouble,s,Negativity,0
you,you,c,Negativity,1
?,?,nn,Question,0
I,i,s,Autobio,0
have,have,s,Autobio,1
been,been,s,Autobio,2
up,up,s,,0
this,this,s,Immediacy,0
hour,hour,c,Immediacy,1
",",",",s,,0
awake,awake,s,SenseProperty,0
all,all,s,TimeDuration,0
Night,night,c,TimeDuration,1
:,:,n,,0
Know,know,s,Confidence,0
I,i,s,FirstPer,0
these,these,s,Immediacy,0
men,men,c,PersonProperty,0
",",",",s,,0
that,that,s,,0
come,come,s,ReportingEvents,0
along,along,s,ReportingEvents,1
with,with,s,ReportingEvents,2
you,you,c,DirectAddress,0
?,?,nn,Question,0
Yes,yes,c,OralCues,0
",",",",s,OralCues,1
every,every,s,Inclusive,0
man,man,s,Inclusive,1
of,of,s,,0
them,them,c,,0
;,;,s,,0
and,and,s,,0
no,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
here,here,n,SpaceRelation,0
But,but,s,Resistance,0
honors,honors,s,StandardsPos,0
you,you,c,DirectAddress,0
:,:,s,,0
and,and,s,,0
every,every,s,Generalization,0
one,one,s,Generalization,1
does,does,s,ReportingEvents,0
wish,wish,c,SubjectivePercept,0
",",",",n,,0
You,you,s,DirectAddress,0
had,had,s,DirectAddress,1
but,but,s,Resistance,0
that,that,s,Resistance,1
opinion,opinion,s,SubjectivePercept,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
self,self,c,SubjectivePercept,0
",",",",n,Aside,0
Which,which,s,Aside,1
every,every,s,Generalization,0
Noble,noble,s,StandardsPos,0
Roman,roman,s,AbstractConcepts,0
bears,bears,s,SenseObject,0
of,of,s,DirectAddress,0
you,you,c,DirectAddress,1
.,.,n,ReportingStates,0
This,this,s,ReportingStates,1
is,is,s,ReportingStates,2
Trebonius,trebonius,c,UNRECOGNIZED,0
.,.,nn,,0
He,he,s,Updates,0
is,is,s,Updates,1
welcome,welcome,s,Positivity,0
hither,hither,c,SpaceRelation,0
.,.,nnn,,0
This,this,c,Immediacy,0
",",",",s,Immediacy,1
Decius,decius,s,UNRECOGNIZED,0
Brutus,brutus,c,UNRECOGNIZED,0
.,.,nnn,,0
He,he,s,Updates,0
is,is,s,Updates,1
welcome,welcome,s,Positivity,0
too,too,c,Metadiscourse,0
.,.,nnn,Metadiscourse,1
This,this,c,Immediacy,0
",",",",s,Immediacy,1
Caska,caska,c,UNRECOGNIZED,0
;,;,s,,0
this,this,c,Immediacy,0
",",",",s,Immediacy,1
Cinna,cinna,c,UNRECOGNIZED,0
;,;,s,,0
and,and,s,,0
this,this,c,Immediacy,0
",",",",s,Immediacy,1
Metellus,metellus,s,UNRECOGNIZED,0
Cymber,cymber,c,UNRECOGNIZED,0
.,.,nnn,,0
They,they,s,Exceptions,0
are,are,s,Exceptions,1
all,all,s,Exceptions,2
welcome,welcome,c,Positivity,0
.,.,n,Question,0
What,what,s,Question,1
watchful,watchful,s,SubjectivePercept,0
Cares,cares,s,SubjectivePercept,0
do,do,s,Intensity,0
interpose,interpose,s,SpaceRelation,0
themselves,themselves,n,PersonPronoun,0
Betwixt,betwixt,s,TimeDuration,0
your,your,s,DirectAddress,0
Eyes,eyes,c,SenseObject,0
",",",",s,,0
and,and,s,TimeDuration,0
Night,night,c,TimeDuration,1
?,?,nn,Question,0
Shall,shall,s,Future_Question,0
I,i,s,Future_Question,1
entreat,entreat,s,Request,0
a,a,s,LangRef,0
word,word,c,LangRef,1
?,?,nnn,Question,0
Here,here,s,SpaceRelation,0
lies,lies,s,SpaceRelation,1
the,the,s,SpaceRelation,0
East,east,c,SpaceRelation,1
:,:,s,Question,0
does,does,s,Question,1
not,not,s,DenyDisclaim,0
the,the,s,DenyDisclaim,1
Day,day,s,TimeDuration,0
break,break,s,ReportingEvents,0
here,here,c,SpaceRelation,0
?,?,nnn,Question,0
No,no,c,DenyDisclaim,0
.,.,nnn,,0
O,o,s,LangRef,0
pardon,pardon,c,Positivity,0
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
it,it,s,,0
does,does,c,ReportingEvents,0
;,;,s,,0
and,and,s,,0
you,you,s,DirectAddress,0
gray,gray,s,SenseProperty,0
Lines,lines,c,SpaceRelation,0
",",",",n,,0
That,that,s,,0
fret,fret,s,Negativity,0
the,the,s,SenseObject,0
Clouds,clouds,c,SenseObject,1
",",",",s,,0
are,are,s,ReportingStates,0
Messengers,messengers,s,PersonProperty,0
of,of,s,,0
Day,day,c,TimeDuration,0
.,.,nn,,0
You,you,s,Insist,0
shall,shall,s,Insist,1
confess,confess,c,Disclosure,0
",",",",s,,0
that,that,s,DirectAddress,0
you,you,s,DirectAddress,1
are,are,s,ReportingStates,0
both,both,s,,0
deceived,deceived,c,Anger,0
:,:,n,,0
Here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
as,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
point,point,s,AbstractConcepts,0
my,my,s,FirstPer,0
Sword,sword,c,SenseObject,0
",",",",s,,0
the,the,s,SenseObject,0
Sun,sun,s,SenseObject,1
arises,arises,c,ReportingEvents,0
",",",",n,Aside,0
Which,which,s,Aside,1
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
great,great,s,Intensity,0
way,way,s,AbstractConcepts,0
growing,growing,s,Transformation,0
on,on,s,Transformation,1
the,the,s,,0
South,south,c,SpaceRelation,0
",",",",n,,0
Weighing,weighing,s,ReportingEvents,0
the,the,s,ReportingEvents,1
youthful,youthful,s,StandardsPos,0
Season,season,s,TimeDuration,0
of,of,s,TimeDuration,1
the,the,s,TimeDuration,2
year,year,c,TimeDuration,3
.,.,n,,0
Some,some,s,Uncertainty,0
two,two,s,ProjectAhead,0
months,months,s,ProjectAhead,1
hence,hence,c,ProjectAhead,2
",",",",s,,0
up,up,s,,0
higher,higher,s,Comparison,0
toward,toward,s,SpaceRelation,0
the,the,s,SpaceRelation,1
North,north,n,SpaceRelation,0
He,he,s,PersonPronoun,0
first,first,s,Sequence,0
presents,presents,s,,0
his,his,s,PersonPronoun,0
fire,fire,c,SenseObject,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
high,high,s,,0
East,east,n,SpaceRelation,0
Stands,stands,s,,0
as,as,s,,0
the,the,s,,0
Capitol,capitol,c,SenseObject,0
",",",",s,,0
directly,directly,s,Immediacy,0
here,here,c,SpaceRelation,0
.,.,nn,Imperative,0
Give,give,s,Imperative,1
me,me,s,FirstPer,0
your,your,s,DirectAddress,0
hands,hands,s,SenseObject,0
all,all,s,,0
over,over,c,,0
",",",",s,,0
one,one,s,SpaceRelation,0
by,by,s,SpaceRelation,1
one,one,c,SpaceRelation,2
.,.,nnn,DirectAddress,0
And,and,s,DirectAddress,1
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
swear,swear,s,Intensity,0
our,our,s,Inclusive,0
Resolution,resolution,c,StandardsPos,0
.,.,nnn,,0
No,no,c,OralCues,0
",",",",s,OralCues,1
not,not,s,DenyDisclaim,0
an,an,s,DenyDisclaim,1
Oath,oath,c,CommonAuthorities,0
:,:,s,,0
if,if,s,Contingency,0
not,not,s,Contingency,1
the,the,s,SenseObject,0
Face,face,s,SenseObject,1
of,of,s,,0
men,men,c,PersonProperty,0
",",",",n,,0
The,the,s,,0
sufferance,sufferance,s,SubjectivePercept,0
of,of,s,SubjectivePercept,1
our,our,s,SelfDisclosure,0
Souls,souls,c,SelfDisclosure,1
",",",",s,,0
the,the,s,TimeDuration,0
times,times,s,TimeDuration,1
Abuse,abuse,c,Negativity,0
;,;,n,,0
If,if,s,Contingency,0
these,these,s,Immediacy,0
be,be,s,ReportingStates,0
Motives,motives,s,SubjectivePercept,0
weak,weak,c,Negativity,0
",",",",s,,0
break,break,s,Transformation,0
off,off,s,Transformation,1
betimes,betimes,c,SubjectiveTime,0
",",",",n,,0
And,and,s,,0
every,every,s,Inclusive,0
man,man,s,Inclusive,1
hence,hence,c,ReasonForward,0
",",",",s,ReasonForward,1
to,to,s,,0
his,his,s,PersonPronoun,0
idle,idle,s,SenseProperty,0
bed,bed,c,SenseObject,0
:,:,n,,0
So,so,s,,0
let,let,s,ReportingEvents,0
high-sighted-Tyranny,high-sighted-tyranny,s,UNRECOGNIZED,0
range,range,s,,0
on,on,c,,0
",",",",n,,0
Till,till,s,AbstractConcepts,0
each,each,s,Inclusive,0
man,man,s,Inclusive,1
drop,drop,s,SceneShift,0
by,by,s,SceneShift,1
Lottery,lottery,c,Contingency,0
.,.,s,Resistance,0
But,but,s,Resistance,1
if,if,s,Contingency,0
these,these,n,Immediacy,0
(,(,c,Aside,0
As,as,s,Aside,1
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sure,sure,s,Confidence,0
they,they,s,,0
do,do,c,Intensity,0
),),s,,0
bear,bear,s,SenseObject,0
fire,fire,s,SenseObject,0
enough,enough,n,SubjectivePercept,0
To,to,s,SubjectivePercept,1
kindle,kindle,s,ReportingEvents,0
Cowards,cowards,c,Anger,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
steel,steel,s,SenseObject,0
with,with,s,,0
valor,valor,n,StandardsPos,0
The,the,s,,0
melting,melting,s,Motions,0
Spirits,spirits,s,SubjectivePercept,0
of,of,s,,0
women,women,c,PersonProperty,0
.,.,s,Sequence,0
Then,then,s,Sequence,1
Countrymen,countrymen,c,PersonProperty,0
",",",",n,,0
What,what,s,,0
need,need,s,Insist,0
we,we,s,,0
any,any,s,,0
spur,spur,c,SenseObject,0
",",",",s,Resistance,0
but,but,s,Resistance,1
our,our,s,Inclusive,0
own,own,s,Inclusive,1
cause,cause,c,Cause,0
",",",",n,,0
To,to,s,,0
prick,prick,s,Negativity,0
us,us,s,Inclusive,0
to,to,s,,0
redress,redress,c,StandardsPos,0
?,?,s,Question,0
What,what,s,,0
other,other,s,Specifiers,0
Bond,bond,c,AbstractConcepts,0
",",",",n,,0
Then,then,s,,0
secret,secret,s,AbstractConcepts,0
Romans,romans,c,,0
",",",",s,,0
that,that,s,,0
have,have,s,,0
spoke,spoke,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
word,word,c,LangRef,0
",",",",n,,0
And,and,s,,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
palter,palter,c,Negativity,0
?,?,s,Question,0
And,and,s,,0
what,what,s,,0
other,other,s,Specifiers,0
Oath,oath,c,CommonAuthorities,0
",",",",n,,0
Then,then,s,,0
Honesty,honesty,s,StandardsPos,0
to,to,s,,0
Honesty,honesty,s,StandardsPos,0
engaged,engaged,c,ReportingStates,0
",",",",n,ReportingStates,1
That,that,s,,0
this,this,s,,0
shall,shall,s,ProjectAhead,0
be,be,c,ProjectAhead,1
",",",",s,,0
or,or,s,,0
we,we,s,,0
will,will,s,PredictedFuture,0
fall,fall,s,Positivity,0
for,for,s,Positivity,1
it,it,c,,0
.,.,n,Imperative,0
Swear,swear,s,Imperative,1
Priests,priests,s,PersonProperty,0
and,and,s,,0
Cowards,cowards,c,Anger,0
",",",",s,,0
and,and,s,,0
men,men,s,PersonProperty,0
Cautelous,cautelous,n,UNRECOGNIZED,0
Old,old,s,SenseProperty,0
feeble,feeble,s,Negativity,0
Carrions,carrions,c,SenseObject,0
",",",",s,,0
and,and,s,,0
such,such,s,Intensity,0
suffering,suffering,s,Negativity,0
Souls,souls,n,Disclosure,0
That,that,s,,0
welcome,welcome,s,Positivity,0
wrongs,wrongs,c,StandardsNeg,0
:,:,s,,0
Unto,unto,s,CommonAuthorities,0
bad,bad,s,Negativity,0
causes,causes,c,Cause,0
",",",",s,,0
swear,swear,n,Intensity,0
Such,such,s,Intensity,0
Creatures,creatures,s,SenseObject,0
as,as,s,,0
men,men,s,PersonProperty,0
doubt,doubt,c,Uncertainty,0
;,;,s,Resistance,0
but,but,s,Resistance,1
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
stain,stain,n,Negativity,0
The,the,s,Negativity,1
even,even,s,SubjectivePercept,0
virtue,virtue,s,StandardsPos,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Enterprise,enterprise,c,CommonAuthorities,0
",",",",n,,0
Nor,nor,s,DenyDisclaim,0
the,the,s,DenyDisclaim,1
insuppressiue,insuppressiue,s,UNRECOGNIZED,0
Mettle,mettle,s,StandardsPos,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Spirits,spirits,c,SubjectivePercept,0
",",",",n,,0
To,to,s,,0
think,think,c,PrivateThinking,0
",",",",s,,0
that,that,s,,0
or,or,s,,0
our,our,s,Inclusive,0
Cause,cause,c,Cause,0
",",",",s,,0
or,or,s,,0
our,our,s,Inclusive,0
Performance,performance,n,GenericEvents,0
Did,did,s,ReportingEvents,0
need,need,s,Insist,0
an,an,s,Insist,1
Oath,oath,c,CommonAuthorities,0
.,.,s,Question,0
When,when,s,Question,1
every,every,s,Generalization,0
drop,drop,s,,0
of,of,s,,0
blood,blood,n,SenseObject,0
That,that,s,,0
every,every,s,Generalization,0
Roman,roman,s,AbstractConcepts,0
bears,bears,c,SenseObject,0
",",",",s,,0
and,and,s,,0
Nobly,nobly,s,StandardsPos,0
bears,bears,n,SenseObject,0
Is,is,s,Negative_Attribution,0
guilty,guilty,s,Negative_Attribution,1
of,of,s,Negative_Attribution,2
a,a,s,,0
several,several,s,Specifiers,0
Bastordie,bastordie,c,UNRECOGNIZED,0
",",",",n,,0
If,if,s,Contingency,0
he,he,s,Contingency,1
do,do,s,Intensity,0
break,break,s,Negativity,0
the,the,s,Negativity,1
smallest,smallest,s,Comparison,0
Particle,particle,n,SenseObject,0
Of,of,s,,0
any,any,s,,0
promise,promise,s,StandardsPos,0
that,that,s,,0
has,has,s,,0
past,past,s,AbstractConcepts,0
from,from,s,,0
him,him,c,PersonPronoun,0
.,.,nn,Resistance,0
But,but,s,Resistance,1
what,what,s,DirectAddress,0
of,of,s,DirectAddress,1
Cicero,cicero,c,AbstractConcepts,0
?,?,s,Question,0
Shall,shall,s,Future_Question,0
we,we,s,Future_Question,1
sound,sound,s,SenseProperty,0
him,him,c,PersonPronoun,0
?,?,n,Question,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
he,he,s,PersonPronoun,0
will,will,s,PredictedFuture,0
stand,stand,s,AbstractConcepts,0
very,very,s,Intensity,0
strong,strong,s,Intensity,0
with,with,s,Inclusive,0
us,us,c,Inclusive,1
.,.,nn,DirectAddress,0
Let,let,s,DirectAddress,1
us,us,s,DirectAddress,2
not,not,s,DenyDisclaim,0
leave,leave,s,SceneShift,0
him,him,s,SceneShift,1
out,out,c,,0
.,.,nnn,,0
No,no,c,OralCues,0
",",",",s,OralCues,1
by,by,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
means,means,c,DenyDisclaim,2
.,.,nnn,,0
O,o,s,LangRef,0
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
have,have,s,Cause,0
him,him,c,Cause,1
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
his,his,s,PersonPronoun,0
Silver,silver,s,SenseObject,0
hairs,hairs,n,SenseObject,1
Will,will,s,PredictedFuture,0
purchase,purchase,s,ReportingEvents,0
us,us,s,Inclusive,0
a,a,s,Positivity,0
good,good,s,Positivity,1
opinion,opinion,c,SubjectivePercept,0
:,:,n,,0
And,and,s,,0
buy,buy,s,ReportingEvents,0
men's,men's,s,PersonProperty,0
voices,voices,c,SenseObject,0
",",",",s,,0
to,to,s,,0
commend,commend,s,StandardsPos,0
our,our,s,Inclusive,0
deeds,deeds,c,AbstractConcepts,0
:,:,n,,0
It,it,s,ProjectAhead,0
shall,shall,s,ProjectAhead,1
be,be,s,ProjectAhead,2
said,said,c,Citations,0
",",",",s,,0
his,his,s,PersonPronoun,0
judgment,judgment,s,PrivateThinking,0
ruled,ruled,s,ReportingEvents,0
our,our,s,Inclusive,0
hands,hands,c,SenseObject,0
",",",",n,,0
Our,our,s,Inclusive,0
youths,youths,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
wildenesse,wildenesse,c,UNRECOGNIZED,0
",",",",s,,0
shall,shall,s,ProjectAhead,0
no,no,s,DenyDisclaim,0
whit,whit,s,DenyDisclaim,1
appear,appear,c,SubjectivePercept,0
",",",",n,Resistance,0
But,but,s,Resistance,1
all,all,s,,0
be,be,s,ReportingStates,0
buried,buried,s,SpaceRelation,0
in,in,s,SpaceRelation,1
his,his,s,SpaceRelation,2
Gravity,gravity,c,AbstractConcepts,0
.,.,nn,,0
O,o,s,LangRef,0
name,name,s,ReportingEvents,0
him,him,s,ReportingEvents,1
not,not,c,DenyDisclaim,0
;,;,s,,0
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
not,not,s,DenyDisclaim,0
break,break,s,Transformation,0
with,with,s,Transformation,1
him,him,c,PersonPronoun,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
he,he,s,ReasonForward,2
will,will,s,PredictedFuture,0
never,never,s,PredictedFuture,1
follow,follow,s,,0
any,any,s,Specifiers,0
thing,thing,n,Specifiers,1
That,that,s,,0
other,other,s,Specifiers,0
men,men,s,PersonProperty,0
begin,begin,c,Sequence,0
.,.,nn,Sequence,0
Then,then,s,Sequence,1
leave,leave,s,SceneShift,0
him,him,s,SceneShift,1
out,out,c,,0
.,.,nnn,,0
Indeed,indeed,c,Intensity,0
",",",",s,,0
he,he,s,Updates,0
is,is,s,Updates,1
not,not,s,StandardsNeg,0
fit,fit,c,StandardsNeg,1
.,.,nnn,,0
Shall,shall,s,ProjectAhead,0
no,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
else,else,s,Contingency,0
be,be,s,SenseProperty,0
touched,touched,c,SenseProperty,1
",",",",s,Resistance,0
but,but,s,Resistance,1
only,only,s,SubjectivePercept,0
Caesar,caesar,c,,0
?,?,nnn,Question,0
Decius,decius,s,UNRECOGNIZED,0
well,well,s,SenseObject,0
urged,urged,c,Intensity,0
:,:,s,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
it,it,s,SelfDisclosure,2
is,is,s,SelfDisclosure,3
not,not,s,DenyDisclaim,0
meet,meet,c,ReportingEvents,0
",",",",n,,0
Mark,mark,s,AbstractConcepts,0
Antony,antony,c,UNRECOGNIZED,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
well,well,s,SenseObject,0
beloved,beloved,s,StandardsPos,0
of,of,s,,0
Caesar,caesar,c,,0
",",",",n,Future_Question,0
Should,should,s,Future_Question,1
out-liue,out-liue,s,UNRECOGNIZED,0
Caesar,caesar,c,,0
",",",",s,,0
we,we,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
find,find,s,,0
of,of,s,,0
him,him,n,PersonPronoun,0
A,a,s,,0
shrewd,shrewd,s,StandardsPos,0
Contriuer,contriuer,c,UNRECOGNIZED,0
.,.,s,DirectAddress,0
And,and,s,DirectAddress,1
you,you,s,DirectAddress,0
know,know,c,DirectAddress,1
",",",",s,,0
his,his,s,PersonPronoun,0
means,means,n,AbstractConcepts,0
If,if,s,Contingency,0
he,he,s,Contingency,1
improve,improve,s,StandardsPos,0
them,them,c,,0
",",",",s,,0
may,may,s,Contingency,0
well,well,s,Contingency,1
stretch,stretch,s,Motions,0
so,so,s,Metadiscourse,0
far,far,n,Metadiscourse,1
As,as,s,Metadiscourse,2
to,to,s,,0
annoy,annoy,s,Anger,0
us,us,s,Inclusive,0
all,all,c,Inclusive,1
:,:,s,,0
which,which,s,,0
to,to,s,,0
prevent,prevent,c,Resistance,0
",",",",n,,0
Let,let,s,ReportingEvents,0
Antony,antony,s,UNRECOGNIZED,0
and,and,s,,0
Caesar,caesar,s,,0
fall,fall,s,,0
together,together,c,Inclusive,0
.,.,nn,,0
Our,our,s,ProjectAhead,0
course,course,s,ProjectAhead,1
will,will,s,PredictedFuture,0
seem,seem,s,Uncertainty,0
too,too,s,,0
bloody,bloody,c,Negativity,0
",",",",s,,0
Caius,caius,s,UNRECOGNIZED,0
Cassius,cassius,c,,0
",",",",n,,0
To,to,s,,0
cut,cut,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Head,head,s,Resistance,0
off,off,c,Resistance,1
",",",",s,,0
and,and,s,Sequence,0
then,then,s,Sequence,1
hacke,hacke,s,UNRECOGNIZED,0
the,the,s,,0
Limbs,limbs,c,SenseObject,0
:,:,n,,0
Like,like,s,SubjectivePercept,0
Wrath,wrath,s,Anger,0
in,in,s,,0
death,death,c,Negativity,0
",",",",s,,0
and,and,s,,0
Envy,envy,s,Negative_Relation,0
afterward,afterward,c,Sequence,0
:,:,n,,0
For,for,s,,0
Antony,antony,c,UNRECOGNIZED,0
",",",",s,,0
is,is,s,Exceptions,0
but,but,s,Exceptions,1
a,a,s,,0
Limb,limb,s,SenseObject,0
of,of,s,,0
Caesar,caesar,c,,0
.,.,n,DirectAddress,0
Let,let,s,DirectAddress,1
Us,us,s,DirectAddress,2
be,be,s,ReportingStates,0
Sacrificers,sacrificers,c,UNRECOGNIZED,0
",",",",s,Resistance,0
but,but,s,Resistance,1
not,not,s,DenyDisclaim,0
Butchers,butchers,s,Negativity,0
Caius,caius,c,UNRECOGNIZED,0
:,:,n,,0
We,we,s,Inclusive,0
all,all,s,Inclusive,1
stand,stand,s,Resistance,0
up,up,s,Resistance,1
against,against,s,Resistance,2
the,the,s,SubjectivePercept,0
spirit,spirit,s,SubjectivePercept,1
of,of,s,,0
Caesar,caesar,c,,0
",",",",n,,0
And,and,s,,0
in,in,s,Specifiers,0
the,the,s,Specifiers,1
Spirit,spirit,s,Specifiers,2
of,of,s,Specifiers,3
men,men,c,PersonProperty,0
",",",",s,,0
there,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
blood,blood,c,SenseObject,0
:,:,n,,0
O,o,s,LangRef,0
that,that,s,Inclusive,0
we,we,s,Inclusive,1
then,then,s,,0
could,could,s,Contingency,0
come,come,s,Contingency,1
by,by,s,,0
Caesar's,caesar's,s,UNRECOGNIZED,0
Spirit,spirit,c,SubjectivePercept,0
",",",",n,,0
And,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
dismember,dismember,s,Negativity,0
Caesar,caesar,c,,0
!,!,s,,0
But,but,s,Resistance,0
(,(,c,,0
alas,alas,c,Negativity,0
),),n,,0
Caesar,caesar,s,,0
must,must,s,Insist,0
bleed,bleed,s,Intensity,0
for,for,s,Intensity,1
it,it,c,,0
.,.,s,DirectAddress,0
And,and,s,DirectAddress,1
gentle,gentle,s,Positivity,0
Friends,friends,c,StandardsPos,0
",",",",n,,0
Let,let,s,DirectAddress,0
Us,us,s,DirectAddress,1
kill,kill,s,Negativity,0
him,him,s,PersonPronoun,0
Boldly,boldly,c,Confidence,0
",",",",s,Resistance,0
but,but,s,Resistance,1
not,not,s,DenyDisclaim,0
Wrathfully,wrathfully,c,Anger,0
:,:,n,,0
Let,let,s,DirectAddress,0
Us,us,s,DirectAddress,1
carue,carue,s,UNRECOGNIZED,0
him,him,c,PersonPronoun,0
",",",",s,,0
as,as,s,,0
a,a,s,SenseObject,0
Dish,dish,s,SenseObject,1
fit,fit,s,StandardsPos,0
for,for,s,StandardsPos,1
the,the,s,StandardsPos,2
Gods,gods,c,CommonAuthorities,0
",",",",n,,0
Not,not,s,DenyDisclaim,0
hew,hew,s,Motions,0
him,him,s,PersonPronoun,0
as,as,s,,0
a,a,s,,0
Carcass,carcass,s,SenseObject,0
fit,fit,s,StandardsPos,0
for,for,s,StandardsPos,1
Hounds,hounds,c,Negative_Relation,0
:,:,n,,0
And,and,s,,0
let,let,s,ReportingEvents,0
our,our,s,Inclusive,0
Hearts,hearts,c,SenseObject,0
",",",",s,,0
as,as,s,Resemblances,0
subtle,subtle,s,Resemblances,1
Masters,masters,s,StandardsPos,0
do,do,c,GenericEvents,0
",",",",n,GenericEvents,1
Stir,stir,s,Negativity,0
up,up,s,Negativity,1
their,their,s,PersonPronoun,0
Servants,servants,s,PersonProperty,0
to,to,s,,0
an,an,s,,0
act,act,s,GenericEvents,0
of,of,s,GenericEvents,1
Rage,rage,c,Anger,0
",",",",n,,0
And,and,s,,0
after,after,s,Sequence,0
seem,seem,s,Uncertainty,0
to,to,s,,0
chide,chide,s,Negative_Relation,0
',',c,,0
em,em,c,SpaceRelation,0
.,.,s,,0
This,this,s,,0
shall,shall,s,ProjectAhead,0
